normalized_row_id,source_table,source_row,source_id,response_type,paper_title,local_relpath,analysis_ready,readiness_status,blocking_issue_count,blocking_issues,warning_issues,next_action,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,rate_value,rate_unit,rate_derivation_basis,observation_type,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,timepoint_or_interval,figure_or_table_label,page,panel_label,qa_status,evidence_key,extraction_provenance,calculation_notes,value_data_file,matched_crop_count,matched_crop_paths,matched_crop_review_statuses,matched_final_clip_paths,matched_digitized_data_paths,concrete_digitized_data_files,concrete_final_clip_files
RATE_EXTRACTED_OBSERVATIONS-46,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,46,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria strigosa,endpoint_percent_regenerated,oiled reefs,79.2,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,4.8,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-47,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,47,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria strigosa,endpoint_percent_regenerated,unoiled reefs,56.6,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,6.1,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-48,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,48,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria strigosa,endpoint_percent_regenerated,oiled reefs reciprocal transplant,82.5,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,10.0,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-49,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,49,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria strigosa,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,81.5,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,9.9,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-50,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,50,3764e810-0eb0-4d34-baca-2c5136c95bc8,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora palmata,closure_rate,small lesions <5 cm2,,linear closure rate,7.3,mm month-1,reported_linear_rate,closure_rate,,,SE,1.31,20,,first 30 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Mean closure rate first 30 d; extra-large lesions excluded.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-51,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,51,3764e810-0eb0-4d34-baca-2c5136c95bc8,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora palmata,closure_rate,medium lesions 5-10 cm2,,linear closure rate,4.9,mm month-1,reported_linear_rate,closure_rate,,,SE,0.4,20,,first 30 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Mean closure rate first 30 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-52,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,52,3764e810-0eb0-4d34-baca-2c5136c95bc8,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora palmata,closure_rate,large lesions 10-20 cm2,,linear closure rate,4.3,mm month-1,reported_linear_rate,closure_rate,,,SE,0.3,12,,first 30 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Mean closure rate first 30 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-53,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,53,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastrea annularis,mean_regeneration_rate,bleached colonies,,mean tissue regeneration,10.5,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,not_reported,,41,,first 8 d,Figure 3,4,,extracted_needs_independent_qc,pdf_page_4_text,,Mean regeneration rate of bleached colonies during first 8 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-54,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,54,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastrea annularis,mean_regeneration_rate,normal colonies,,mean tissue regeneration,13.9,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,not_reported,,26,,first 8 d,Figure 3,4,,extracted_needs_independent_qc,pdf_page_4_text,,Mean regeneration rate of normal colonies during first 8 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-55,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,55,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,mean_regeneration_rate,bleached Site 1,,mean tissue regeneration,5.4,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,SE,1.5,,,first 8 d,Table 1,5,,extracted_needs_independent_qc,pdf_page_5_table_1,,Mean regeneration rate plus SE in Table 1.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-56,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,56,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,mean_regeneration_rate,normal Site 1,,mean tissue regeneration,9.0,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,SE,1.2,,,first 8 d,Table 1,5,,extracted_needs_independent_qc,pdf_page_5_table_1,,Mean regeneration rate plus SE in Table 1.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-57,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,57,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,mean_regeneration_rate,bleached in effluent Site 2,,mean tissue regeneration,8.9,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,SE,1.1,,,first 8 d,Table 1,5,,extracted_needs_independent_qc,pdf_page_5_table_1,,Mean regeneration rate plus SE in Table 1.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-58,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,58,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Porites astreoides,mean_regeneration_rate,normal Site 3,,mean tissue regeneration,12.4,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,SE,0.5,31,,first 8 d,Table 1,5,,extracted_needs_independent_qc,pdf_page_5_table_1,,Mean regeneration rate plus SE in Table 1.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-59,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,59,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Porites astreoides,mean_regeneration_rate,bleached transplanted Site 3,,mean tissue regeneration,14.3,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,SE,0.7,23,,first 8 d,Table 1,5,,extracted_needs_independent_qc,pdf_page_5_table_1,,Mean regeneration rate plus SE in Table 1.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-60,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,60,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Meandrina meandrites,mean_regeneration_rate,normal colonies,,mean tissue regeneration,18.7,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,not_reported,,5,,first 8 d,Figure 3,4,,extracted_needs_independent_qc,pdf_page_4_text,,Mean rate reported in prose for normal colonies.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-61,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,61,6b96575e-9bf7-46f2-a12e-73b565f46629,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Meandrina meandrites,mean_regeneration_rate,bleached colonies,,mean tissue regeneration,15.4,mm2 d-1,reported_areal_rate,mean_regeneration_rate,,,not_reported,,9,,first 8 d,Figure 3,4,,extracted_needs_independent_qc,pdf_page_4_text,,Mean rate reported in prose for bleached colonies.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-62,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,62,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastrea annularis,endpoint_percent_completely_recovered,desalination-power-plant native series DPP,64,percent lesions completely recovered,,percent,time_to_closure,endpoint_percent_completely_recovered,,,not_reported,,24,,14 wk,Figure 2,3,,extracted_needs_independent_qc,pdf_page_3_text,,End-of-experiment percentage of lesions completely recovered; DPP measured 14 weeks.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-63,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,63,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastrea annularis,endpoint_percent_completely_recovered,transplanted AB to DPP series T,63,percent lesions completely recovered,,percent,time_to_closure,endpoint_percent_completely_recovered,,,not_reported,,25,,12 wk,Figure 2,3,,extracted_needs_independent_qc,pdf_page_3_text,,End-of-experiment percentage of lesions completely recovered; transplant series measured 12 weeks.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-64,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,64,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastrea annularis,endpoint_percent_completely_recovered,Awa Blancu control series AB,8,percent lesions completely recovered,,percent,time_to_closure,endpoint_percent_completely_recovered,,,not_reported,,25,,14 wk,Figure 2,3,,extracted_needs_independent_qc,pdf_page_3_text,,End-of-experiment percentage of lesions completely recovered; AB measured 14 weeks.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
